day_pt,total_membership,interval_start_timestamp
2025-11-27T00:00:00+00:00,1208,2025-11-27T00:00:00+00:00
2025-11-28T00:00:00+00:00,1208,2025-11-28T00:00:00+00:00
2025-11-29T00:00:00+00:00,1208,2025-11-29T00:00:00+00:00
2025-11-30T00:00:00+00:00,1210,2025-11-30T00:00:00+00:00
2025-12-01T00:00:00+00:00,1211,2025-12-01T00:00:00+00:00
2025-12-02T00:00:00+00:00,1211,2025-12-02T00:00:00+00:00
2025-12-03T00:00:00+00:00,1211,2025-12-03T00:00:00+00:00
2025-12-04T00:00:00+00:00,1211,2025-12-04T00:00:00+00:00
2025-12-05T00:00:00+00:00,1212,2025-12-05T00:00:00+00:00
2025-12-06T00:00:00+00:00,1215,2025-12-06T00:00:00+00:00
2025-12-07T00:00:00+00:00,1218,2025-12-07T00:00:00+00:00
2025-12-08T00:00:00+00:00,1219,2025-12-08T00:00:00+00:00
2025-12-09T00:00:00+00:00,1220,2025-12-09T00:00:00+00:00
2025-12-10T00:00:00+00:00,1220,2025-12-10T00:00:00+00:00
2025-12-11T00:00:00+00:00,1220,2025-12-11T00:00:00+00:00
2025-12-12T00:00:00+00:00,1219,2025-12-12T00:00:00+00:00
2025-12-13T00:00:00+00:00,1221,2025-12-13T00:00:00+00:00
2025-12-14T00:00:00+00:00,1222,2025-12-14T00:00:00+00:00
2025-12-15T00:00:00+00:00,1225,2025-12-15T00:00:00+00:00
2025-12-16T00:00:00+00:00,1224,2025-12-16T00:00:00+00:00
2025-12-17T00:00:00+00:00,1223,2025-12-17T00:00:00+00:00
2025-12-18T00:00:00+00:00,1223,2025-12-18T00:00:00+00:00
2025-12-19T00:00:00+00:00,1224,2025-12-19T00:00:00+00:00
2025-12-20T00:00:00+00:00,1224,2025-12-20T00:00:00+00:00
2025-12-21T00:00:00+00:00,1225,2025-12-21T00:00:00+00:00
2025-12-22T00:00:00+00:00,1225,2025-12-22T00:00:00+00:00
2025-12-23T00:00:00+00:00,1224,2025-12-23T00:00:00+00:00
2025-12-24T00:00:00+00:00,1223,2025-12-24T00:00:00+00:00
2025-12-25T00:00:00+00:00,1223,2025-12-25T00:00:00+00:00
2025-12-26T00:00:00+00:00,1223,2025-12-26T00:00:00+00:00
2025-12-27T00:00:00+00:00,1223,2025-12-27T00:00:00+00:00
2025-12-28T00:00:00+00:00,1224,2025-12-28T00:00:00+00:00
2025-12-29T00:00:00+00:00,1226,2025-12-29T00:00:00+00:00
2025-12-30T00:00:00+00:00,1226,2025-12-30T00:00:00+00:00
2025-12-31T00:00:00+00:00,1223,2025-12-31T00:00:00+00:00
2026-01-01T00:00:00+00:00,1224,2026-01-01T00:00:00+00:00
2026-01-02T00:00:00+00:00,1224,2026-01-02T00:00:00+00:00
2026-01-03T00:00:00+00:00,1225,2026-01-03T00:00:00+00:00
2026-01-04T00:00:00+00:00,1223,2026-01-04T00:00:00+00:00
2026-01-05T00:00:00+00:00,1223,2026-01-05T00:00:00+00:00
2026-01-06T00:00:00+00:00,1224,2026-01-06T00:00:00+00:00
2026-01-07T00:00:00+00:00,1224,2026-01-07T00:00:00+00:00
2026-01-08T00:00:00+00:00,1223,2026-01-08T00:00:00+00:00
2026-01-09T00:00:00+00:00,1223,2026-01-09T00:00:00+00:00
2026-01-10T00:00:00+00:00,1226,2026-01-10T00:00:00+00:00
2026-01-11T00:00:00+00:00,1228,2026-01-11T00:00:00+00:00
2026-01-12T00:00:00+00:00,1228,2026-01-12T00:00:00+00:00
2026-01-13T00:00:00+00:00,1229,2026-01-13T00:00:00+00:00
2026-01-14T00:00:00+00:00,1227,2026-01-14T00:00:00+00:00
2026-01-15T00:00:00+00:00,1227,2026-01-15T00:00:00+00:00
2026-01-16T00:00:00+00:00,1228,2026-01-16T00:00:00+00:00
2026-01-17T00:00:00+00:00,1231,2026-01-17T00:00:00+00:00
2026-01-18T00:00:00+00:00,1233,2026-01-18T00:00:00+00:00
2026-01-19T00:00:00+00:00,1234,2026-01-19T00:00:00+00:00
2026-01-20T00:00:00+00:00,1236,2026-01-20T00:00:00+00:00
2026-01-21T00:00:00+00:00,1238,2026-01-21T00:00:00+00:00